HITId WorkerId  src trg item  hit work-seconds  accept  submit  approval
3I01FDIL6M85VXZSF1JRR4T4AN72DP M0227 ja en ad 50 947.0 "Tue Oct 04 11:05:22 2022" "Tue Oct 04 11:21:09 2022" Submitted
30F94FBDNRK60ZVLKKCHX1EU7F8BTJ M0797 ja en ad 51 3261.0 "Tue Oct 04 11:36:26 2022" "Tue Oct 04 12:30:47 2022" Submitted
3GVPRXWRPHUTP9CKDR1XESQPD817IC M0052 ja en ad 53 4754.0 "Tue Oct 04 11:05:25 2022" "Tue Oct 04 12:24:39 2022" Submitted
3XD2A6FGFNUMX639X0TVWQNIHWR9SI M1019 ja en ad 58 7060.0 "Tue Oct 04 11:05:25 2022" "Tue Oct 04 13:03:05 2022" Submitted
3B9J25CZ25DOV4AC9K3MYGOQNHTSCH M0733 ja en ad 59 798.0 "Tue Oct 04 11:05:31 2022" "Tue Oct 04 11:18:49 2022" Submitted
3VQTAXTYN3LL0CAAKP2R2X0WQTFBUA M1198 ja en ad 64 1405.0 "Tue Oct 04 11:55:48 2022" "Tue Oct 04 12:19:13 2022" Submitted
3BPP3MA3TCKGOPZ0L2CGCIAYGZZELJ M0130 ja en ad 65 3090.0 "Tue Oct 04 16:12:25 2022" "Tue Oct 04 17:03:55 2022" Submitted
3T8DUCXY0N6NC6GOM0YL6VJ4JF59T7 M1368 ja en ad 66 1365.0 "Tue Oct 04 11:05:22 2022" "Tue Oct 04 11:28:07 2022" Submitted
3G9UA71JVVUPKKWQV9MXQT5PQNQ7JO M0885 ja en ad 67 3523.0 "Tue Oct 04 11:05:22 2022" "Tue Oct 04 12:04:05 2022" Submitted
3XEDXEGFX3O6DT2OSV10CTVFXYK0KG M0690 ja en ad 71 3694.0 "Tue Oct 04 13:06:24 2022" "Tue Oct 04 14:07:58 2022" Submitted
30UZJB2POHCZC2GI4VFDC2A43K953V M1151 ja en ad 72 835.0 "Tue Oct 04 11:05:22 2022" "Tue Oct 04 11:19:17 2022" Submitted
32XN26MTXZJHXZK6DVD1RT8UMYP0LJ M0045 ja en ad 74 1110.0 "Tue Oct 04 11:05:28 2022" "Tue Oct 04 11:23:58 2022" Submitted
3L7SUC0TTUU13H2RD7EGR6NJM3F0ML M0731 ja en ad 75 5373.0 "Tue Oct 04 11:05:30 2022" "Tue Oct 04 12:35:03 2022" Submitted
3OJX0UFJ0Z72CJVDM5OVBR562TC9UY M0937 ja en ad 76 6591.0 "Tue Oct 04 11:05:26 2022" "Tue Oct 04 12:55:17 2022" Submitted
3UZUVSO3P7V0U7HLLEDVCVPNG4PEML M0992 ja en ad 83 596.0 "Tue Oct 04 11:05:22 2022" "Tue Oct 04 11:15:18 2022" Submitted
344M16OZKIF6CP2LXFSVPAENLUZENL M1405 ja en ad 88 752.0 "Tue Oct 04 11:17:53 2022" "Tue Oct 04 11:30:25 2022" Submitted
3Z33IC0JC0M2PYKDRVY07D7PG0L9VN M0984 ja en ad 91 6441.0 "Tue Oct 04 11:05:24 2022" "Tue Oct 04 12:52:45 2022" Submitted
36AZSFEYZ40LDRZAPFCWYJ2F40OBVZ M0158 ja en ad 95 3070.0 "Tue Oct 04 11:43:08 2022" "Tue Oct 04 12:34:18 2022" Submitted
3E9ZFLPWOYSN4OIBV45V8R3DF1FXIW M0937 ja en ad 96 5909.0 "Tue Oct 04 11:05:25 2022" "Tue Oct 04 12:43:54 2022" Submitted
33IXYHIZB5IAN3DSBWUBXMBPAZ82EI M0722 ja en ad 97 2864.0 "Tue Oct 04 11:05:26 2022" "Tue Oct 04 11:53:10 2022" Submitted
3LEG2HW4UFN2THDO67EHF4WPM0N2F0 M0094 ja en ad 99 6112.0 "Tue Oct 04 11:06:48 2022" "Tue Oct 04 12:48:40 2022" Submitted
3QGHA0EA0J0YSGZFFPHSKLLTB9QBW9 M0733 ja en ad 101 389.0 "Tue Oct 04 11:05:25 2022" "Tue Oct 04 11:11:54 2022" Submitted
3PMR2DOWOO1KUYZM49KWM72AHK554G M0019 ja en ad 105 1984.0 "Tue Oct 04 11:05:22 2022" "Tue Oct 04 11:38:26 2022" Submitted
3HXK2V1N4KF87H9JHRKZXPW1NFN2GZ M1295 ja en ad 106 2608.0 "Tue Oct 04 11:09:54 2022" "Tue Oct 04 11:53:22 2022" Submitted
3VCK0Q0PO5E7LZNRP8TG4LCJRTP0NL M0078 ja en ad 107 5685.0 "Tue Oct 04 13:11:42 2022" "Tue Oct 04 14:46:27 2022" Submitted
3UEDKCTP9VQKV428DUM9R8525CQ7KN M1398 ja en ad 110 1283.0 "Tue Oct 04 12:11:43 2022" "Tue Oct 04 12:33:06 2022" Submitted
3EN4YVUOUCSJZZ2HDMQVKSIDSG4XJ8 M1082 ja en ad 111 988.0 "Tue Oct 04 11:09:33 2022" "Tue Oct 04 11:26:01 2022" Submitted
3J9L0X0VDFMF4NKIH53WTFQ3N9N9WX M0870 ja en ad 114 1830.0 "Tue Oct 04 11:08:53 2022" "Tue Oct 04 11:39:23 2022" Submitted
3PR3LXCWSFZUTNP8RAZIVY4AWBT9XQ M0286 ja en ad 115 673.0 "Tue Oct 04 11:08:53 2022" "Tue Oct 04 11:20:06 2022" Submitted
304QEQWKZPKP3KN3QNTTJACOH3U0O0 M0332 ja en ad 117 3368.0 "Tue Oct 04 12:48:35 2022" "Tue Oct 04 13:44:43 2022" Submitted
335HHSX8CD59AN2AYMMYE8Z6Z6PHDM M0009 ja en ad 121 825.0 "Tue Oct 04 11:05:31 2022" "Tue Oct 04 11:19:16 2022" Submitted
39WSF6KUV2LOUA2XYUS84ZESB44EO0 M0751 ja en ad 122 332.0 "Tue Oct 04 11:05:22 2022" "Tue Oct 04 11:10:54 2022" Submitted
38G0E1M85M509Q8GP6TR39U3TLUUVY M0278 ja en ad 123 2091.0 "Tue Oct 04 11:10:05 2022" "Tue Oct 04 11:44:56 2022" Submitted
3SSN80MU8COEAJ8ZV7Q7L7IQ754XK7 M0741 ja en ad 124 5619.0 "Tue Oct 04 12:27:10 2022" "Tue Oct 04 14:00:49 2022" Submitted
3XBXDSS888JPUPQHG72807V5W59XLA M1408 ja en ad 126 2558.0 "Tue Oct 04 11:28:01 2022" "Tue Oct 04 12:10:39 2022" Submitted
3HEA4ZVWVDM2QH3MIE36RZ8OHG055L M0023 ja en ad 135 6926.0 "Tue Oct 04 11:05:22 2022" "Tue Oct 04 13:00:48 2022" Submitted
3WYZV0QBFJDDHG45PUDEM4Z0KBWBX2 M0382 ja en ad 136 746.0 "Tue Oct 04 11:05:22 2022" "Tue Oct 04 11:17:48 2022" Submitted
3OND0WXMHWFE2TGAUHXIKQHRZIQHEF M0966 ja en ad 138 1950.0 "Tue Oct 04 12:24:25 2022" "Tue Oct 04 12:56:55 2022" Submitted
3ZXNP4Z39RLVFAKQYUYA68IHUCV7LQ M0523 ja en ad 140 1225.0 "Tue Oct 04 11:05:23 2022" "Tue Oct 04 11:25:48 2022" Submitted
39XCQ6V3KY4Y9L30NXDBJ5MODBB561 M0052 ja en ad 142 2581.0 "Tue Oct 04 11:05:23 2022" "Tue Oct 04 11:48:24 2022" Submitted
301KG0KX9CLM7D4U1X2HIP822F02HY M1264 ja en ad 143 750.0 "Tue Oct 04 11:05:22 2022" "Tue Oct 04 11:17:52 2022" Submitted
379OL9DBSSEJTSFIW6LKECBJYHN9YW M1058 ja en ad 147 4123.0 "Tue Oct 04 13:10:01 2022" "Tue Oct 04 14:18:44 2022" Submitted
36JW4WBR06K687G6PSHO282RBJ5HFX M0570 ja en ad 153 1860.0 "Tue Oct 04 11:42:47 2022" "Tue Oct 04 12:13:47 2022" Submitted
3I7SHAD35MWFLS2BY6ZP6LX6UHL7MS M0406 ja en ad 154 2400.0 "Tue Oct 04 11:05:30 2022" "Tue Oct 04 11:45:30 2022" Submitted
3GL25Y6843U90782GJ3N0KAUWAZXMC M1315 ja en ad 157 2231.0 "Tue Oct 04 11:24:26 2022" "Tue Oct 04 12:01:37 2022" Submitted
3QQUBC64ZEEFIPT2SKINDZZU109XNC M1335 ja en ad 158 427.0 "Tue Oct 04 11:05:21 2022" "Tue Oct 04 11:12:28 2022" Submitted
3VI0PC2ZAYKX0ATETZI0SOZZRAEXOR M1086 ja en ad 162 965.0 "Tue Oct 04 17:33:35 2022" "Tue Oct 04 17:49:40 2022" Submitted
3EGKVCRQFWS2HLUFUQZG5I69MHQBY8 M0618 ja en ad 165 1107.0 "Tue Oct 04 11:09:54 2022" "Tue Oct 04 11:28:21 2022" Submitted
3NOEP8XAU42FLA5F8ZVFHO4P1FAXP8 M0523 ja en ad 166 2630.0 "Tue Oct 04 11:05:29 2022" "Tue Oct 04 11:49:19 2022" Submitted
3126F2F5F836FAEYDU5NTZJIL90EPH M1315 ja en ad 172 4259.0 "Tue Oct 04 11:18:45 2022" "Tue Oct 04 12:29:44 2022" Submitted
3W1K7D6QSBH2MB4KQC1ZJPFBSBUBZZ M0501 ja en ad 174 4292.0 "Tue Oct 04 11:07:20 2022" "Tue Oct 04 12:18:52 2022" Submitted
37G6BXQPLQLRFMFDD7KCT49SQ5MEQ8 M1418 ja en ad 184 4217.0 "Tue Oct 04 11:11:05 2022" "Tue Oct 04 12:21:22 2022" Submitted
3T2EL38U0MK0LM6U8CA4HTUZ6BWXQZ M0161 ja en ad 199 1210.0 "Tue Oct 04 13:12:19 2022" "Tue Oct 04 13:32:29 2022" Submitted
3PUOXASB573JYIPNSSN3SJKL4BR9ZN M0953 ja en ad 210 1173.0 "Tue Oct 04 11:05:22 2022" "Tue Oct 04 11:24:55 2022" Submitted
3SMIWMMK615DOF8LFGYNPBDH0UWUW8 M0422 ja en ad 211 2430.0 "Tue Oct 04 12:39:20 2022" "Tue Oct 04 13:19:50 2022" Submitted
3Y40HMYLL1ISDFDBPLU9RURO9W2UX1 M0000 ja en ad 212 3242.0 "Tue Oct 04 11:05:23 2022" "Tue Oct 04 11:59:25 2022" Submitted
3SCKNODZ0XGL3ANBA7EPJ0M6Z7V7NS M0206 ja en ad 213 1511.0 "Tue Oct 04 11:05:24 2022" "Tue Oct 04 11:30:35 2022" Submitted
31D0ZWOD0AZ01GT2G4OBIFSJSMQA0B M0072 ja en ad 219 910.0 "Tue Oct 04 11:11:26 2022" "Tue Oct 04 11:26:36 2022" Submitted
3SZYX62S5G0HDLH567I3PJMK8MV570 M0965 ja en ad 221 1291.0 "Tue Oct 04 11:05:25 2022" "Tue Oct 04 11:26:56 2022" Submitted
30ZKOOGW2W6085EKCNSBWKBTXEWA1E M0753 ja en ad 223 1530.0 "Tue Oct 04 11:24:36 2022" "Tue Oct 04 11:50:06 2022" Submitted
32204AGAABCCM7C10CN6KT23CY5HGW M0985 ja en ad 230 1744.0 "Tue Oct 04 14:40:16 2022" "Tue Oct 04 15:09:20 2022" Submitted
389A2A304OIOUVQ00IK2OAI7SPBC0F M0052 ja en ad 231 992.0 "Tue Oct 04 11:05:22 2022" "Tue Oct 04 11:21:54 2022" Submitted
3GMLHYZ0LEXHDK3LUHGBA8YXB2WUY7 M0489 ja en ad 232 3476.0 "Tue Oct 04 18:49:07 2022" "Tue Oct 04 19:47:03 2022" Submitted
341YLJU21IZM38FE7FK2I19H2SF2IR M1145 ja en ad 238 1650.0 "Tue Oct 04 16:37:53 2022" "Tue Oct 04 17:05:23 2022" Submitted
3L60IFZKF3IQM37CKI5O5TE4RYIHHV M0285 ja en ad 242 1503.0 "Tue Oct 04 11:05:22 2022" "Tue Oct 04 11:30:25 2022" Submitted
3P6ENY9P79WQIYIWQ0N955FJRBXHIO M0019 ja en ad 243 2047.0 "Tue Oct 04 11:05:27 2022" "Tue Oct 04 11:39:34 2022" Submitted
34F34TZU7WZIYJZKPX52U2OHF742J3 M0523 ja en ad 245 2167.0 "Tue Oct 04 11:05:24 2022" "Tue Oct 04 11:41:31 2022" Submitted
3UL5XDRDNCJLDZMOGCA93JIFJ6158N M0398 ja en ad 253 2217.0 "Tue Oct 04 11:36:05 2022" "Tue Oct 04 12:13:02 2022" Submitted
3LG268AV386RRNUDQM9CYUJXMROER9 M0414 ja en ad 254 1836.0 "Tue Oct 04 11:05:22 2022" "Tue Oct 04 11:35:58 2022" Submitted
372AGES0I450XNLULRZ4MJ442XYXR0 M0722 ja en ad 256 5453.0 "Tue Oct 04 11:05:28 2022" "Tue Oct 04 12:36:21 2022" Submitted
3LCXHSGDLT63S2UQ5B9HO4OT8T7ESX M0951 ja en ad 259 660.0 "Tue Oct 04 11:05:22 2022" "Tue Oct 04 11:16:22 2022" Submitted
3GS542CVJVNLR45YL4GN3FDQ3CJ59C M0789 ja en ad 268 5779.0 "Tue Oct 04 11:06:38 2022" "Tue Oct 04 12:42:57 2022" Submitted
3X4Q1O9UBHM3LVNNBME2YPMBPH07O7 M0640 ja en ad 269 3279.0 "Tue Oct 04 12:00:15 2022" "Tue Oct 04 12:54:54 2022" Submitted
3PKJ68EHDNWMD9228I89H6UJ4QMHJ0 M0816 ja en ad 271 1320.0 "Tue Oct 04 11:05:24 2022" "Tue Oct 04 11:27:24 2022" Submitted
3PA41K45VN4L6VZOQMRHNPR1ZMW7PO M0700 ja en ad 272 4363.0 "Tue Oct 04 12:49:47 2022" "Tue Oct 04 14:02:30 2022" Submitted
3VO4XFFP15M66703QZ66NUHB4II7QF M0815 ja en ad 282 2896.0 "Tue Oct 04 11:30:36 2022" "Tue Oct 04 12:18:52 2022" Submitted
37Y5RYYI0P5CY2L70GZ9CT90OZHXSO M0404 ja en ad 290 1437.0 "Tue Oct 04 11:05:24 2022" "Tue Oct 04 11:29:21 2022" Submitted
33TGB4G0LPHDD2YMPG4ZMY5MQIVXTD M0170 ja en ad 293 3679.0 "Tue Oct 04 12:21:00 2022" "Tue Oct 04 13:22:19 2022" Submitted
3IKMEYR0LWVD93527I5EVHOUUW42K2 M0034 ja en ad 301 1520.0 "Tue Oct 04 17:11:59 2022" "Tue Oct 04 17:37:19 2022" Submitted
33P2GD6NRNSHOT8KQ38LILUWJFMHKZ M0640 ja en ad 304 1030.0 "Tue Oct 04 13:02:21 2022" "Tue Oct 04 13:19:31 2022" Submitted
39O0SQZVJN76I8F33EV6SKRG04K7RG M1398 ja en ad 309 1470.0 "Tue Oct 04 12:52:22 2022" "Tue Oct 04 13:16:52 2022" Submitted
3H781YYV6TI47275UBE7Y9KFACLETM M0580 ja en ad 315 6163.0 "Tue Oct 04 12:27:10 2022" "Tue Oct 04 14:09:53 2022" Submitted
37VUR2VJ6APO1KBIW1O22F1HXHHC1I M0754 ja en ad 320 4828.0 "Tue Oct 04 11:10:15 2022" "Tue Oct 04 12:30:43 2022" Submitted
3CIS7GGG65JJ7FMUUG4H356HTQSEUD M1293 ja en ad 321 5197.0 "Tue Oct 04 11:05:30 2022" "Tue Oct 04 12:32:07 2022" Submitted
3Y7LTZE0YTMHIADQQ3IUOF7ZHW0UZY M0206 ja en ad 324 4178.0 "Tue Oct 04 11:05:25 2022" "Tue Oct 04 12:15:03 2022" Submitted
3Y40HMYLL1ISDFDBPLU9RURO9W2XU4 M1246 ja en ad 326 5802.0 "Tue Oct 04 13:03:33 2022" "Tue Oct 04 14:40:15 2022" Submitted
388CL5C1RJNS8ZQ2B3KMXL7B8FRHL2 M1194 ja en ad 327 1276.0 "Tue Oct 04 11:05:30 2022" "Tue Oct 04 11:26:46 2022" Submitted
3MJ9GGZYO367XQWGVRSP13LYPKAA2V M0395 ja en ad 329 6219.0 "Tue Oct 04 11:05:54 2022" "Tue Oct 04 12:49:33 2022" Submitted
3N2YPY1GI6YJKUBUZ6EMZR807X1EV2 M0227 ja en ad 330 1825.0 "Tue Oct 04 11:05:24 2022" "Tue Oct 04 11:35:49 2022" Submitted
39O6Z4JLX2XSQU2BUB4ENGT7N3BXVT M0942 ja en ad 332 991.0 "Tue Oct 04 11:05:23 2022" "Tue Oct 04 11:21:54 2022" Submitted
36818Z1KV3DWI8SZZR6UKDQQVYAA36 M1197 ja en ad 333 2910.0 "Tue Oct 04 11:05:25 2022" "Tue Oct 04 11:53:55 2022" Submitted
3EAWOID6MTXKT4W0RZF7E26WDWQV0W M1340 ja en ad 335 6433.0 "Tue Oct 04 11:35:54 2022" "Tue Oct 04 13:23:07 2022" Submitted
3NSCTNUR2ZNZWNF3DAUNZAOA9U15AR M0808 ja en ad 336 2179.0 "Tue Oct 04 11:05:22 2022" "Tue Oct 04 11:41:41 2022" Submitted
3NZ1E5QA6Z14FXKVJOUJUL8GRCM5BM M1418 ja en ad 337 3412.0 "Tue Oct 04 11:08:53 2022" "Tue Oct 04 12:05:45 2022" Submitted
3DWGDA5POF4K0THINIJ7S7P6IOWV1Z M0389 ja en ad 339 2126.0 "Tue Oct 04 11:05:22 2022" "Tue Oct 04 11:40:48 2022" Submitted
3TFJJUELSHPVQ5TEF5OG7YBMPNVC2Z M0349 ja en ad 340 3346.0 "Tue Oct 04 11:05:22 2022" "Tue Oct 04 12:01:08 2022" Submitted
3RIHDBQ1NEYCEH8NBFL1XYM08KHHM4 M0656 ja en ad 343 811.0 "Tue Oct 04 11:05:22 2022" "Tue Oct 04 11:18:53 2022" Submitted
3N3WJQXELSQOT9NKSIHFAH19JW92L5 M0923 ja en ad 344 1610.0 "Tue Oct 04 11:10:05 2022" "Tue Oct 04 11:36:55 2022" Submitted
39KV3A5D187IJNFGI3VBIUWCM637S4 M0691 ja en ad 347 2604.0 "Tue Oct 04 14:10:05 2022" "Tue Oct 04 14:53:29 2022" Submitted
378G7J1SJLYWZJBZPGJILTREE63EWC M1272 ja en ad 358 6026.0 "Tue Oct 04 15:02:59 2022" "Tue Oct 04 16:43:25 2022" Submitted
35F6NGNVM8JJYNSV7301SZSYOPH7TT M1178 ja en ad 360 3910.0 "Tue Oct 04 16:20:27 2022" "Tue Oct 04 17:25:37 2022" Submitted
3TUOHPJXYHX55J2GKL9A9ICLUCDXW3 M0457 ja en ad 362 4251.0 "Tue Oct 04 11:05:27 2022" "Tue Oct 04 12:16:18 2022" Submitted
31N9JPQXIPIIWZTNNG01ADB0DARHN4 M0694 ja en ad 364 2813.0 "Tue Oct 04 11:55:28 2022" "Tue Oct 04 12:42:21 2022" Submitted
3V0TR1NRVA2H04B3Z5BDUIIW9Y6A4R M0720 ja en ad 366 6498.0 "Tue Oct 04 11:06:38 2022" "Tue Oct 04 12:54:56 2022" Submitted
3D4BBDG7ZHWKBNPXJ52LQ8GEV1VC3A M0523 ja en ad 370 3156.0 "Tue Oct 04 11:05:31 2022" "Tue Oct 04 11:58:07 2022" Submitted
36FFXPMST9O0EKTZOV0EP2B53KWHOJ M0826 ja en ad 372 641.0 "Tue Oct 04 11:05:22 2022" "Tue Oct 04 11:16:03 2022" Submitted
36D1BWBEHN18ZR55SUIUAUGYJ1Z2M7 M0753 ja en ad 377 1053.0 "Tue Oct 04 11:22:32 2022" "Tue Oct 04 11:40:05 2022" Submitted
3GITHABACYLEH9Q54VXUN95YOR92N7 M1019 ja en ad 379 6250.0 "Tue Oct 04 11:05:22 2022" "Tue Oct 04 12:49:32 2022" Submitted
3ZG552ORAM4RPEZE6MJLXQZBAUAV2G M1340 ja en ad 385 7147.0 "Tue Oct 04 11:30:57 2022" "Tue Oct 04 13:30:04 2022" Submitted
3LAZVA75NIRWZUQH5AX72Y53E1E2OM M0671 ja en ad 389 5847.0 "Tue Oct 04 14:15:52 2022" "Tue Oct 04 15:53:19 2022" Submitted
3JTPR5MTZSC580OPP17CTOR6E6VK5L M0516 ja en ad 390 3950.0 "Tue Oct 04 14:28:35 2022" "Tue Oct 04 15:34:25 2022" Submitted
3DQYSJDTYLBBOJGPZLF4NC5LN89EX5 M0818 ja en ad 392 1713.0 "Tue Oct 04 11:05:22 2022" "Tue Oct 04 11:33:55 2022" Submitted
3J5XXLQDHMBGAWVXAMXQG043G8AV3R M0842 ja en ad 396 3534.0 "Tue Oct 04 11:05:22 2022" "Tue Oct 04 12:04:16 2022" Submitted
38XPGNCKHT01SSE1A029Q5W9U86V4C M0411 ja en ad 404 6273.0 "Tue Oct 04 11:18:25 2022" "Tue Oct 04 13:02:58 2022" Submitted
3YLTXLH3DF6IZK503VDTE2GVDPSHP0 M0961 ja en ad 406 1145.0 "Tue Oct 04 16:46:41 2022" "Tue Oct 04 17:05:46 2022" Submitted
3DGDV62G7O9EKU2IKAAMRYATO6A2P3 M0965 ja en ad 410 789.0 "Tue Oct 04 11:05:25 2022" "Tue Oct 04 11:18:34 2022" Submitted
32W3UF2EZOL5TJ81JJ740D8K91RC4V M0364 ja en ad 411 5580.0 "Tue Oct 04 11:05:25 2022" "Tue Oct 04 12:38:25 2022" Submitted
3NSCTNUR2ZNZWNF3DAUNZAOA9U1A5W M0791 ja en ad 412 2284.0 "Tue Oct 04 13:02:41 2022" "Tue Oct 04 13:40:45 2022" Submitted
3FBEFUUYRK5VFRFHIT4SRG2A5PCA6C M1375 ja en ad 414 710.0 "Tue Oct 04 12:18:36 2022" "Tue Oct 04 12:30:26 2022" Submitted
3UOMW19E6D6NP2C1XOQE55EY9XMC50 M0054 ja en ad 415 746.0 "Tue Oct 04 11:05:22 2022" "Tue Oct 04 11:17:48 2022" Submitted
30QQTY5GMKKYY07K78QBXVE073O7UK M0808 ja en ad 419 2745.0 "Tue Oct 04 11:05:24 2022" "Tue Oct 04 11:51:09 2022" Submitted
3BAWBGQGYLZYBFWKCY0GTHGJLAX7V9 M0341 ja en ad 421 2180.0 "Tue Oct 04 11:06:38 2022" "Tue Oct 04 11:42:58 2022" Submitted
3GL25Y6843U90782GJ3N0KAUWA0MX2 M0092 ja en ad 423 921.0 "Tue Oct 04 11:08:33 2022" "Tue Oct 04 11:23:54 2022" Submitted
34ZTTGSNJXO3ZW6F38SIE765ILEHQR M0367 ja en ad 426 5630.0 "Tue Oct 04 11:05:31 2022" "Tue Oct 04 12:39:21 2022" Submitted
3M7OI89LVYOJ86CF270JXBSY5SXC6G M1249 ja en ad 427 1761.0 "Tue Oct 04 11:36:05 2022" "Tue Oct 04 12:05:26 2022" Submitted
3BCRDCM0ODU1R4O3UKHHLU56A16K61 M0183 ja en ad 431 1799.0 "Tue Oct 04 16:11:54 2022" "Tue Oct 04 16:41:53 2022" Submitted
3V8JSVE8YYQ0OO6Z4H166QCUPE3EYB M0694 ja en ad 433 4293.0 "Tue Oct 04 13:07:20 2022" "Tue Oct 04 14:18:53 2022" Submitted
3Y3N5A7N4G9Y0CYCLFPPJYH3YGUMY8 M0377 ja en ad 434 1329.0 "Tue Oct 04 11:18:56 2022" "Tue Oct 04 11:41:05 2022" Submitted
3DFYDSXB2W0RIV8M8HF80LJ9YU1JU8 M1105 ja en ad 0 1776.0 "Mon Sep 26 08:03:10 2022" "Mon Sep 26 08:32:46 2022" Submitted
3OID399FXG7PWRB43WYYBNNTJNPFDR M0164 ja en ad 1 539.0 "Mon Sep 26 08:03:10 2022" "Mon Sep 26 08:12:09 2022" Submitted
3EKTG13IZU3E0DRD200ZPQF7PX3MLL M0662 ja en ad 2 2968.0 "Mon Sep 26 08:03:09 2022" "Mon Sep 26 08:52:37 2022" Submitted
3XUY87HIVPEY6V9Y2C1EP3UWP2TMMN M0420 ja en ad 3 3591.0 "Mon Sep 26 08:06:28 2022" "Mon Sep 26 09:06:19 2022" Submitted
3GKAWYFRAPT1N40YHZU3NH1XLTCPD4 M0778 ja en ad 4 768.0 "Mon Sep 26 08:03:09 2022" "Mon Sep 26 08:15:57 2022" Submitted
3OZ4VAIBEXFRVAXMD7PDW7LSC1AJVX M0136 ja en ad 5 3455.0 "Mon Sep 26 09:53:11 2022" "Mon Sep 26 10:50:46 2022" Submitted
322ZSN9Z5GKMF0AC552UPN8OXJ44TB M0687 ja en ad 6 402.0 "Mon Sep 26 08:03:09 2022" "Mon Sep 26 08:09:51 2022" Submitted
31N9JPQXIPIIWZTNNG01ADB0D64HN9 M0740 ja en ad 7 521.0 "Mon Sep 26 08:03:10 2022" "Mon Sep 26 08:11:51 2022" Submitted
3TD33TP5DL21L3WCEKL02WO2JM0AB2 M0459 ja en ad 8 1979.0 "Mon Sep 26 08:03:10 2022" "Mon Sep 26 08:36:09 2022" Submitted
37ZQELHEQ0Y4ODUYEDGE2IJWUS3MNN M1049 ja en ad 9 3491.0 "Mon Sep 26 08:03:09 2022" "Mon Sep 26 09:01:20 2022" Submitted
301KG0KX9CLM7D4U1X2HIP822BD2H3 M0581 ru en ad 91 781.0 "Mon Sep 26 08:19:37 2022" "Mon Sep 26 08:32:38 2022" Submitted
301KG0KX9CLM7D4U1X2HIP822BDH2I M0720 ru en ad 11 2533.0 "Mon Sep 26 07:57:56 2022" "Mon Sep 26 08:40:09 2022" Submitted
