wid hit.count mean.bad.ref mean.sys.out mean.ref min.hit.time mean.hit.time mean.concurrent max.concurrent max.const.seq.len reject.rate scores.flag time.flag seq.flag reject.flag 
M1260 1 72.9 76.6 77 3969 3969 1 1 2 0 - - - - 
M0579 1 72 70.1 78.7 420 420 1 1 2 0 flag(scrs) - - - 
M0984 1 57.4 47.3 100 6441 6441 1 1 5 0 flag(scrs) - - - 
M0857 13 73 77.2 90.7 202.6 979.1 4.8 8 9 0 - flag(time) - - 
M0325 1 0 0 0 703 703 1 1 93 0 flag(scrs) - flag(seq) - 
M0614 1 48.5 47.7 48 1176 1176 1 1 2 0 flag(scrs) - - - 
M0265 4 28.6 47.1 94.4 1388.5 1971.6 2 2 2 0 - - - - 
M0022 1 80.6 80.4 92.2 2214 2214 1 1 3 0 flag(scrs) - - - 
M0119 3 75.5 71.8 73.1 809.7 1249.6 2.7 3 2 0 flag(scrs) - - - 
M1341 1 73.3 84.2 93.1 5195 5195 1 1 3 0 - - - - 
M1054 1 NaN 70.4 99 1645 1645 1 1 2 0 flag(incomplete) - - - 
M0501 7 66.8 77.4 99.1 885.3 1964.6 1.7 3 3 0 - - - - 
M1299 1 70.2 78.5 100 1395 1395 1 1 2 0 - - - - 
M1392 1 88.6 90.7 99.7 3163 3163 1 1 3 0 - - - - 
M0135 8 75.4 78.6 97.1 265.4 876.3 3.5 5 4 0 - flag(time) - - 
M0263 2 90.2 97.7 99.4 2147 2886 1 1 9 0 - - - - 
M1340 7 66.2 66.2 87.5 625 1463.6 2.4 4 3 0 - - - - 
M1415 1 87 82.8 82.5 464 464 1 1 3 0 flag(scrs) - - - 
M1119 2 67.6 61.7 58.3 4416 4476.5 1 1 2 0 flag(scrs) - - - 
M1129 1 79.7 78.3 83.7 3089 3089 1 1 2 0 flag(scrs) - - - 
M0728 1 88.6 98.2 98.2 589 589 1 1 6 0 - - - - 
M1232 1 98.6 98.9 99.1 267 267 1 1 7 0 - flag(time) - - 
M1404 9 88.4 90.3 95.3 233 1165.3 3.9 5 3 0 - flag(time) - - 
M0496 47 97.9 97.1 97.9 16.5 242.1 20 25 85 0 flag(scrs) flag(time) flag(seq) - 
M0718 1 47 58.4 82 4968 4968 1 1 2 0 - - - - 
M0439 2 78.8 75.9 79.7 632 768 1 1 3 0 flag(scrs) - - - 
M1335 1 49.3 44 44.1 427 427 1 1 2 0 flag(scrs) - - - 
M0305 4 93.4 93 94.8 234.5 915.2 1.5 2 4 0 flag(scrs) flag(time) - - 
M0405 9 84.3 86.3 98.8 693.5 1388.2 2.6 4 4 0 - - - - 
M1411 1 91 88.3 91.7 1399 1399 1 1 3 0 flag(scrs) - - - 
M1074 1 56.9 78.3 86.1 1701 1701 1 1 2 0 - - - - 
M0072 1 73.8 76.2 75.7 910 910 1 1 3 0 - - - - 
M0586 1 85 76 96.1 2641 2641 1 1 4 0 flag(scrs) - - - 
M0751 3 64.2 62.2 75 332 2246.3 1 1 2 0 flag(scrs) - - - 
M0781 2 48.1 66.2 99.6 5456 6088 1 1 3 0 - - - - 
M0267 3 30.6 44 75.4 1460 2000.8 1.7 2 5 0 - - - - 
M1215 1 11.2 68.2 99 780 780 1 1 4 0 - - - - 
M0987 1 67.6 88.6 84 1347 1347 1 1 3 0 - - - - 
M1240 5 76.1 84.5 92.4 1147.7 1583.9 2 3 3 0 - - - - 
M0812 5 24 29.8 99.8 669.5 1937.5 1.4 2 3 0 - - - - 
M1231 7 32.4 42.3 99.3 666 1025.1 3.6 4 4 0 - - - - 
M0427 11 55.5 69.5 97.5 400 1608.7 2.9 5 4 0 - - - - 
M0288 6 73.1 74.9 91.5 1054.5 2237.2 1.5 2 3 0 - - - - 
M0832 1 56.8 49.6 62.4 670 670 1 1 2 0 flag(scrs) - - - 
M0575 1 58.3 54.6 58 494 494 1 1 9 0 flag(scrs) - - - 
M0954 2 0 0.7 0 188 286 1 1 154 0 - flag(time) flag(seq) - 
M1015 3 68.1 70.2 86.6 1501 2069 1 1 2 0 - - - - 
M0063 1 97.9 96.7 84.3 2189 2189 1 1 7 0 flag(scrs) - - - 
M0447 7 78.8 85.8 92.1 1033 2703.2 1.6 2 7 0 - - - - 
M0483 1 75.6 59.7 91.5 1664 1664 1 1 2 0 flag(scrs) - - - 
M0752 1 0 0 0 1449 1449 1 1 93 0 flag(scrs) - flag(seq) - 
M0123 11 88.5 91.1 97.4 238 1175.2 3.4 5 6 0 - flag(time) - - 
M0878 1 89.3 88 89.1 1483 1483 1 1 2 0 flag(scrs) - - - 
M0110 6 60.7 60 60.3 264 430 1 1 2 0 flag(scrs) flag(time) - - 
M0174 2 71.6 72.3 59.8 493 1450 1 1 3 0 - - - - 
M1198 11 78.6 83.4 95.9 351.2 1171.6 2.9 4 3 0 - - - - 
M0709 1 61.6 60.6 61.3 3630 3630 1 1 3 0 flag(scrs) - - - 
M0775 1 78.4 76.6 81.1 1105 1105 1 1 2 0 flag(scrs) - - - 
M0771 3 86.1 87.5 90.2 466 1732 1 1 4 0 - - - - 
M1038 3 80.6 75.9 78.8 999 1524.2 1.7 2 3 0 flag(scrs) - - - 
M0694 7 76.7 85.7 100 791.5 2606.1 1.3 2 7 0 - - - - 
M0196 1 58.8 59.8 64.1 475 475 1 1 2 0 - - - - 
M1308 2 75.9 77.7 81.1 912 1313 1 1 4 0 - - - - 
M0143 1 91.7 92 93.4 1977 1977 1 1 2 0 - - - - 
M1249 2 63.5 58.7 62 1323 1542 1 1 2 0 flag(scrs) - - - 
M0713 2 28.2 25.5 20.4 360 452 1 1 2 0 flag(scrs) - - - 
M0391 1 71.7 76.9 76.7 1867 1867 1 1 2 0 - - - - 
M0618 13 53.3 53.2 52.8 56.2 260.2 6.6 9 24 0 flag(scrs) flag(time) flag(seq) - 
M1139 1 28.5 76.8 35.9 6777 6777 1 1 3 0 - - - - 
M0786 5 82.9 82.6 80 160.6 422.3 4.2 5 2 0 flag(scrs) flag(time) - - 
M0398 15 92.6 93.7 98.6 99.2 843.1 6.1 10 4 0 - flag(time) - - 
M0777 3 78.6 72.4 84.9 301 323 1 1 4 0 flag(scrs) - - - 
M0702 1 72.5 71.7 77.8 2144 2144 1 1 0 0 flag(scrs) - - - 
M0216 1 73.9 72.5 74 2006 2006 1 1 2 0 flag(scrs) - - - 
M0016 1 76.7 80.8 78.9 3253 3253 1 1 2 0 - - - - 
M1345 2 89.1 85.8 95.8 1703 2260 1 1 3 0 flag(scrs) - - - 
M0793 1 63.1 61.4 86.5 1833 1833 1 1 2 0 flag(scrs) - - - 
M0059 1 81.8 85.2 79.2 2586 2586 1 1 2 0 - - - - 
M1113 1 87.7 85.3 87.5 2826 2826 1 1 3 0 flag(scrs) - - - 
M0567 1 62.7 77 98.4 1998 1998 1 1 3 0 - - - - 
M0560 1 74 72.8 75 7127 7127 1 1 3 0 flag(scrs) - - - 
M0554 1 55.3 54.2 54.9 2747 2747 1 1 2 0 flag(scrs) - - - 
M0298 2 25.8 26.6 33.4 1861 2011.2 2 2 2 0 - - - - 
M0803 3 60.8 55.7 57.7 248 1008 1 1 3 0 flag(scrs) flag(time) - - 
M1187 2 76.6 71 74.2 547 654.5 1 1 6 0 flag(scrs) - - - 
M0802 1 51.9 59.6 81.6 3207 3207 1 1 2 0 - - - - 
M0465 1 30.6 68.3 99.8 3954 3954 1 1 3 0 - - - - 
M0602 1 31.1 94.3 99.3 2659 2659 1 1 8 0 - - - - 
M0252 1 70.5 60.1 66.4 335 335 1 1 2 0 flag(scrs) - - - 
M0121 2 61.5 60.3 66.3 1335 2023.5 1 1 2 0 flag(scrs) - - - 
M0972 1 77.6 76.9 88.5 2857 2857 1 1 2 0 flag(scrs) - - - 
M0646 1 66.3 84.5 97.9 1931 1931 1 1 2 0 - - - - 
M1100 1 72.2 59.5 54.1 472 472 1 1 2 0 flag(scrs) - - - 
M0921 2 41.1 90 100 1663 1665.5 1 1 10 0 - - - - 
M0632 1 58.6 59 64 1758 1758 1 1 3 0 - - - - 
M0209 1 0 0 0 1178 1178 1 1 88 0 flag(scrs) - flag(seq) - 
M1277 1 63.9 74.3 61.5 580 580 1 1 5 0 - - - - 
M0738 1 44.9 59.2 92.5 4021 4021 1 1 3 0 - - - - 
M1399 1 87.4 85.9 88.7 578 578 1 1 2 0 flag(scrs) - - - 
M0669 3 51.9 63.1 99.8 3103 3305 1 1 5 0 - - - - 
M0732 1 83 77.2 76.4 2285 2285 1 1 2 0 flag(scrs) - - - 
M0487 1 78.6 70.8 96.6 2067 2067 1 1 2 0 flag(scrs) - - - 
M0776 5 51.9 57.7 89.9 708 2424 1 1 2 0 - - - - 
M0302 1 56.5 56.8 99.9 3457 3457 1 1 4 0 - - - - 
M1136 1 67.9 66.1 84.9 3378 3378 1 1 2 0 flag(scrs) - - - 
M0001 1 57.3 60 77.7 6183 6183 1 1 2 0 - - - - 
M0705 1 65.3 63.7 88 2611 2611 1 1 2 0 flag(scrs) - - - 
M0077 1 70 66.7 71.7 699 699 1 1 0 0 flag(scrs) - - - 
M0168 1 37.8 52.6 46 4280 4280 1 1 2 0 - - - - 
M0596 1 84.1 89.9 82.7 231 231 1 1 3 0 - flag(time) - - 
M0611 2 65.7 63.1 62.9 584 664 1 1 3 0 flag(scrs) - - - 
M0516 7 78.7 83.4 100 576.3 2154.9 1.7 3 3 0 - - - - 
M0381 3 43.7 66.4 78.2 3604 4354.3 1 1 2 0 - - - - 
M1250 1 5.4 31.1 99.1 707 707 1 1 14 0 - - flag(seq) - 
M0317 1 74.8 75.2 72.4 599 599 1 1 2 0 - - - - 
M1055 1 65.4 74.9 95.7 1051 1051 1 1 3 0 - - - - 
M0294 1 12.8 80.1 97.2 7118 7118 1 1 4 0 - - - - 
M0310 1 68.7 90.5 90.6 632 632 1 1 2 0 - - - - 
M0773 1 74.7 72.3 71.6 2417 2417 1 1 3 0 flag(scrs) - - - 
M0756 1 77.4 80 81.5 3407 3407 1 1 2 0 - - - - 
M0190 1 73.6 68.4 72.3 264 264 1 1 3 0 flag(scrs) flag(time) - - 
M0486 1 5.2 9.9 88.9 2754 2754 1 1 4 0 - - - - 
M0825 1 77.8 76.6 74.4 406 406 1 1 0 0 flag(scrs) - - - 
M1306 8 59.4 59.7 61.9 277 669.7 1.9 3 6 0 - flag(time) - - 
M0191 2 68.8 63.3 86.5 1614 4209.5 1 1 2 0 flag(scrs) - - - 
M0839 1 9 76.6 100 2994 2994 1 1 5 0 - - - - 
M1222 1 71.6 71.4 71.9 1656 1656 1 1 2 0 flag(scrs) - - - 
M0643 16 80.3 81.5 82.2 18.5 160.5 12.5 16 6 0 - flag(time) - - 
M0508 1 83.3 81.2 77.6 2630 2630 1 1 2 0 flag(scrs) - - - 
M0402 1 65.9 61.7 94 995 995 1 1 3 0 flag(scrs) - - - 
M0799 1 38.9 90.5 100 1164 1164 1 1 14 0 - - flag(seq) - 
M0434 1 10.8 79.9 98.6 1416 1416 1 1 6 0 - - - - 
M0024 2 79.8 81.3 83.6 945 1011 1 1 2 0 - - - - 
M0514 1 72.4 66.6 63.4 489 489 1 1 2 0 flag(scrs) - - - 
M0923 10 77 79.7 90.7 513.5 1296.5 2.2 4 3 0 - - - - 
M0942 39 74.1 72.8 73.7 65.3 630.3 8.4 11 4 0 flag(scrs) flag(time) - - 
M0256 1 47.2 57 92.8 535 535 1 1 2 0 - - - - 
M0645 2 70 67.9 66.1 1698 2257 1 1 3 0 flag(scrs) - - - 
M0962 4 46.2 57 81.6 1723 2731.2 1 1 2 0 - - - - 
M0093 9 42.9 78.3 100 165.5 591.4 4.2 6 72 0 - flag(time) flag(seq) - 
M0868 1 65.8 72.3 79.9 2589 2589 1 1 2 0 - - - - 
M1364 1 99 95.5 98.8 1907 1907 1 1 8 0 flag(scrs) - - - 
M0947 3 57.4 61.2 62.4 214 313.8 2.7 3 2 0 - flag(time) - - 
M0957 6 64.4 67.8 88.2 513 1026.5 1.3 2 2 0 - - - - 
M0160 14 77.9 78.3 77.9 35.9 251.9 11 14 3 0 - flag(time) - - 
M0353 4 72.5 86.3 100 1987 2901 1 1 6 0 - - - - 
M0304 1 6 84.5 100 1316 1316 1 1 4 0 - - - - 
M0811 1 75.6 77.8 81.6 2635 2635 1 1 2 0 - - - - 
M0795 1 40 63.3 79.1 1085 1085 1 1 2 0 - - - - 
M0758 1 63.1 69.2 82.6 2070 2070 1 1 8 0 - - - - 
M1145 11 47.5 58.2 93.6 796 1356.4 1.5 2 4 0 - - - - 
M0184 1 73 68.1 66.6 443 443 1 1 0 0 flag(scrs) - - - 
M0881 12 61.4 64.2 85.5 156.6 605 5.8 7 3 0 - flag(time) - - 
M1075 1 85.4 85.7 89.1 6463 6463 1 1 3 0 - - - - 
M0737 2 80.1 70.9 87.5 2947 3228.8 2 2 15 0 flag(scrs) - flag(seq) - 
M0658 4 71 73.7 68.3 296 775.8 1 1 3 0 - flag(time) - - 
M0783 7 77.8 78.6 93.1 741 2015.6 1.7 3 6 0 - - - - 
M0821 2 68.4 65.4 80.3 809 902.8 2 2 3 0 flag(scrs) - - - 
M1061 2 63.9 72.2 80 472 808.5 1 1 2 0 - - - - 
M0838 5 32.5 40.7 89.1 273.6 855.7 4.2 5 3 0 - flag(time) - - 
M0145 1 0 0 0 824 824 1 1 92 0 flag(scrs) - flag(seq) - 
M0436 1 74.2 65.5 61.5 5931 5931 1 1 3 0 flag(scrs) - - - 
M1103 22 82.8 79.5 80 29.8 193.7 12 18 4 0 flag(scrs) flag(time) - - 
M0421 2 55.6 66.3 82 871 2930 1 1 3 0 - - - - 
M1108 1 50.2 87.6 99.6 1453 1453 1 1 6 0 - - - - 
M0533 5 34.8 43.4 89.2 222.6 965.4 4.2 5 3 0 - flag(time) - - 
M1352 1 67.3 70.3 68.8 1099 1099 1 1 2 0 - - - - 
M0139 2 84.3 82.8 76.4 761 800.5 1 1 4 0 flag(scrs) - - - 
M0027 1 56.8 87.6 95.9 2220 2220 1 1 3 0 - - - - 
M0248 14 69.6 69.5 92.8 155.9 628 7.2 11 3 0 flag(scrs) flag(time) - - 
M0794 8 83.4 87.7 94.1 506.7 1669.3 1.8 3 4 0 - - - - 
M0203 1 36.8 70.3 96.7 1868 1868 1 1 3 0 - - - - 
M0599 4 66.8 71.4 64.9 481 1525.5 1 1 3 0 - - - - 
M0841 1 21.2 89 100 2337 2337 1 1 8 0 - - - - 
M0275 5 83.1 88 97.3 1481 2206.2 3 4 12 0 - - flag(seq) - 
M0459 1 71.1 74 79 1979 1979 1 1 2 0 - - - - 
M0273 1 46.5 54.1 77.1 3520 3520 1 1 2 0 - - - - 
M0099 1 34.6 33.7 78.5 4592 4592 1 1 2 0 flag(scrs) - - - 
M0636 1 65.3 70.4 64.9 3176 3176 1 1 3 0 - - - - 
M0866 2 70.2 76 85.9 613 1234.5 1 1 2 0 - - - - 
M0564 1 52.9 60.7 61.2 324 324 1 1 2 0 - - - - 
M1030 1 72.8 70.5 78 3264 3264 1 1 2 0 flag(scrs) - - - 
M0536 2 80.6 86.4 85 334.5 655.8 2 2 3 0 - - - - 
M1213 2 80.2 86.7 92.8 968 1164.5 1 1 3 0 - - - - 
M0083 58 22.3 27.6 25.1 13.9 76.4 23.3 26 369 0 - flag(time) flag(seq) - 
M0532 33 68.1 67.7 68.1 83.3 536.5 3.3 6 2 0 flag(scrs) flag(time) - - 
M1343 2 70.9 63.8 52.5 780 1569.5 1 1 2 0 flag(scrs) - - - 
M0836 8 68.2 73.3 90.9 152.2 849.2 2.2 4 3 0 - flag(time) - - 
M0019 5 87.3 86.5 87.3 627.3 1420.7 2 3 2 0 flag(scrs) - - - 
M1413 8 68 59 81 88 282 1.6 2 43 0 flag(scrs) flag(time) flag(seq) - 
M0774 1 83.3 80.4 75.2 2308 2308 1 1 2 0 flag(scrs) - - - 
M0253 1 60.7 72.7 71.9 311 311 1 1 2 0 - - - - 
M0503 1 33.2 62.5 86.4 528 528 1 1 2 0 - - - - 
M0556 160 30.9 30.3 30.7 4.2 82.5 20.5 26 689 0 flag(scrs) flag(time) flag(seq) - 
M1370 1 48.8 51.8 53.9 2138 2138 1 1 2 0 - - - - 
M0251 2 79.1 84.7 99.8 1802 2347.5 1 1 4 0 - - - - 
M0338 1 75.5 72.9 81.5 994 994 1 1 2 0 flag(scrs) - - - 
M0949 1 77.5 77.4 90.6 3558 3558 1 1 2 0 flag(scrs) - - - 
M0916 2 90.9 89.4 90.2 1708.5 1997 2 2 2 0 flag(scrs) - - - 
M0700 15 56.4 60.3 95 58.1 601.8 5.8 9 4 0 - flag(time) - - 
M0186 1 75 71.7 66.9 3836 3836 1 1 2 0 flag(scrs) - - - 
M1229 39 60.8 61.2 60.8 41.9 274 16.7 22 2 0 - flag(time) - - 
M1101 6 68 66.6 86.7 1443 2571.9 1.3 2 3 0 flag(scrs) - - - 
M0475 5 55.2 62.2 77.2 390 1929 1 1 2 0 - - - - 
M1356 1 21.9 58.7 100 2001 2001 1 1 3 0 - - - - 
M0509 1 23.2 26.7 25 216 216 1 1 21 0 - flag(time) flag(seq) - 
M1202 1 0 1.5 0 1817 1817 1 1 94 0 - - flag(seq) - 
M1367 1 57.3 61.4 53.4 1254 1254 1 1 3 0 - - - - 
M0090 2 58.2 58.1 60.3 2271 2730 1 1 2 0 flag(scrs) - - - 
M1319 2 65.5 58.4 98.8 873 970.5 1 1 3 0 flag(scrs) - - - 
M0652 2 73.3 70.9 66 960 1053.5 1 1 0 0 flag(scrs) - - - 
M1383 2 73.4 69.3 74.8 631 921 1 1 3 0 flag(scrs) - - - 
M0693 5 79.6 78.8 99.4 718.3 1341 3.4 4 4 0 flag(scrs) - - - 
M0169 1 85.6 88.6 84.1 303 303 1 1 3 0 - - - - 
M0312 1 72.3 85.3 94.8 4453 4453 1 1 4 0 - - - - 
M0415 1 8.8 80.4 99.1 1434 1434 1 1 3 0 - - - - 
M0528 3 47 54.6 52.4 412 562.7 1 1 3 0 - - - - 
M0228 5 67.7 73.8 91 557 1758.9 1.8 2 2 0 - - - - 
M1209 1 62.6 52.5 66.1 1347 1347 1 1 2 0 flag(scrs) - - - 
M0890 1 60.3 68.2 60.4 333 333 1 1 2 0 - - - - 
M0994 5 47.4 50.3 46 87.6 140.8 5 5 4 0 - flag(time) - - 
M1347 2 80.6 76.8 79.5 483 754 2 2 3 0 flag(scrs) - - - 
M0242 1 NaN 77.4 NaN 3535 3535 1 1 3 0 flag(incomplete) - - - 
M0326 1 0 0 0 1034 1034 1 1 83 0 flag(scrs) - flag(seq) - 
M0651 5 82.3 84.7 92.4 824 1181.6 4.2 5 3 0 - - - - 
M0227 7 61.6 65.1 85.7 473.5 1802 2 3 3 0 - - - - 
M0623 7 66.3 70.5 94.2 164.8 459.7 4.4 6 3 0 - flag(time) - - 
M1326 1 0 0 0 247 247 1 1 93 0 flag(scrs) flag(time) flag(seq) - 
M0067 47 87.8 88 88.2 31.1 275.7 19.3 22 3 0 - flag(time) - - 
M0979 1 76.3 75.7 77.3 364 364 1 1 2 0 flag(scrs) - - - 
M1251 1 18.3 80.6 99.9 2089 2089 1 1 9 0 - - - - 
M0323 1 65.9 64.2 63.7 4481 4481 1 1 2 0 flag(scrs) - - - 
M0451 1 51.5 56.3 58.7 472 472 1 1 2 0 - - - - 
M0337 1 65.9 65.1 66.4 858 858 1 1 3 0 flag(scrs) - - - 
M0670 1 83.7 84.4 95.5 3888 3888 1 1 3 0 - - - - 
M1305 1 47.4 62 42.4 2765 2765 1 1 3 0 - - - - 
M0499 1 29.7 74.1 81.2 492 492 1 1 3 0 - - - - 
M0141 3 59.1 57.7 64.2 335 1307 1 1 2 0 flag(scrs) - - - 
M0165 3 74 82.7 91.2 727 2424.7 1 1 3 0 - - - - 
M1309 1 78 79.6 94.2 2405 2405 1 1 2 0 - - - - 
M1320 1 68.7 61 53.3 999 999 1 1 3 0 flag(scrs) - - - 
M0587 6 57.9 73.2 98.9 620.5 3610.8 1.3 2 4 0 - - - - 
M1095 1 81 73.1 72.2 1450 1450 1 1 2 0 flag(scrs) - - - 
M0244 2 86.7 82.8 78 750 771 2 2 2 0 flag(scrs) - - - 
M1212 1 54.8 65.1 70 1621 1621 1 1 0 0 - - - - 
M0785 2 47.2 63.8 97 1410 1665.5 1 1 3 0 - - - - 
M0672 1 58.1 75.7 83.8 5836 5836 1 1 3 0 - - - - 
M1237 1 56.1 58.3 51.2 3813 3813 1 1 2 0 - - - - 
M0993 5 53.8 71.9 100 1862 4355.2 1 1 5 0 - - - - 
M1397 2 0 0 0 719.5 928 2 2 193 0 flag(scrs) - flag(seq) - 
M0999 3 70.2 73.1 88.8 371.5 3538.5 1.3 2 3 0 - - - - 
M0356 1 30.7 60.8 100 6899 6899 1 1 4 0 - - - - 
M0485 1 92.7 91.7 88 861 861 1 1 2 0 flag(scrs) - - - 
M0107 1 70.9 73 74.2 387 387 1 1 0 0 - - - - 
M1122 1 78.6 75.9 80.3 272 272 1 1 3 0 flag(scrs) flag(time) - - 
M1150 1 67.9 67.5 95.5 6987 6987 1 1 2 0 flag(scrs) - - - 
M0423 1 100 100 99.9 908 908 1 1 58 0 flag(scrs) - flag(seq) - 
M0176 3 63.8 72.5 79.5 468.5 2309.3 2 2 2 0 - - - - 
M1089 3 76 74.1 78.4 932 1455 1 1 2 0 flag(scrs) - - - 
M1144 4 61 60.6 58.5 185 580.4 2.2 3 2 0 flag(scrs) flag(time) - - 
M0635 1 97.4 93 97.3 432 432 1 1 5 0 flag(scrs) - - - 
M0548 4 46.2 44.2 56.5 396 1250 1 1 2 0 flag(scrs) - - - 
M0649 1 59.2 62.7 69 2001 2001 1 1 3 0 - - - - 
M1312 1 69.7 63.7 63.7 3125 3125 1 1 0 0 flag(scrs) - - - 
M0674 1 53.9 57.1 47.7 423 423 1 1 3 0 - - - - 
M0580 12 63.8 69.2 97.4 640.7 2153.1 2.1 3 10 0 - - - - 
M0380 1 77.6 58 60 3323 3323 1 1 2 0 flag(scrs) - - - 
M0910 3 17.2 20.1 97.4 655.5 1182.8 1.7 2 4 0 - - - - 
M0412 1 54.2 60.9 48.2 1202 1202 1 1 0 0 - - - - 
M1127 1 72.3 86 88.8 614 614 1 1 2 0 - - - - 
M1174 1 55.6 52.1 54.5 1517 1517 1 1 3 0 flag(scrs) - - - 
M0269 1 82.5 87.2 100 1102 1102 1 1 3 0 - - - - 
M0138 1 83.7 85.1 99.1 492 492 1 1 3 0 - - - - 
M0029 2 45.1 84.2 93.5 976 1004 1 1 5 0 - - - - 
M1120 1 88 95.5 100 1720 1720 1 1 5 0 - - - - 
M0846 1 21.2 88.9 99.7 5010 5010 1 1 7 0 - - - - 
M1058 13 60.2 67.6 98.3 282.9 1495.5 5.5 9 5 0 - flag(time) - - 
M0977 4 37.8 51.6 89.3 1141 2097.2 1 1 3 0 - - - - 
M0619 1 93.8 90.8 94.4 457 457 1 1 3 0 flag(scrs) - - - 
M0507 1 86.5 80.6 87.1 4472 4472 1 1 3 0 flag(scrs) - - - 
M1246 9 50.4 72.6 99.9 486 987.3 5.3 6 8 0 - - - - 
M0202 1 30 25.2 83.9 4259 4259 1 1 2 0 flag(scrs) - - - 
M0424 1 22.1 72.4 100 1307 1307 1 1 10 0 - - - - 
M1180 2 93.2 88.4 97.7 887 959.5 1 1 3 0 flag(scrs) - - - 
M1175 12 41.6 48.8 99 114.4 1559.1 5.2 8 3 0 - flag(time) - - 
M1068 1 51.4 52.3 53 784 784 1 1 2 0 - - - - 
M1050 4 76 75.2 76.2 240.5 617 1.5 2 4 0 flag(scrs) flag(time) - - 
M1126 1 73.7 73.4 67.5 594 594 1 1 2 0 flag(scrs) - - - 
M0805 2 70.8 77 99.4 468 725.5 1 1 11 0 - - flag(seq) - 
M1334 5 87.9 93.3 93.6 952 1074 1 1 4 0 - - - - 
M0767 1 65.7 72.3 78.2 453 453 1 1 2 0 - - - - 
M0246 1 23.6 75.2 100 881 881 1 1 5 0 - - - - 
M1091 4 65 71.1 78.5 229.7 1301.8 2.2 3 4 0 - flag(time) - - 
M0061 1 81.8 78 76.2 1838 1838 1 1 2 0 flag(scrs) - - - 
M0627 1 71.5 67.7 83.4 3233 3233 1 1 3 0 flag(scrs) - - - 
